"01-446 Aurora" ,"Race Statistics" ,"NP" ,"NP" ,"Number of Precincts" ,"NP" ,"Total" ,1 ,
"District 12 - Early Voting" ,"HOUSE DISTRICT 12 (ADL)" ,"ADL" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,0 ,
"District 12 - Early Voting" ,"HOUSE DISTRICT 12 (ADL)" ,"ADL" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,0 ,
"District 12 - Early Voting" ,"HOUSE DISTRICT 12 (ADL)" ,"ADL" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,15315 ,
"District 12 - Early Voting" ,"HOUSE DISTRICT 12 (ADL)" ,"ADL" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,38 ,
"District 12 - Early Voting" ,"HOUSE DISTRICT 12 (ADL)" ,"ADL" ,"NP" ,"Jeffers, Stephany" ,"DEM" ,"Total" ,32 ,
"District 12 - Early Voting" ,"HOUSE DISTRICT 12 (R)" ,"REP" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,0 ,
"District 12 - Early Voting" ,"HOUSE DISTRICT 12 (R)" ,"REP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,0 ,
"District 12 - Early Voting" ,"HOUSE DISTRICT 12 (R)" ,"REP" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,15315 ,
"District 12 - Early Voting" ,"HOUSE DISTRICT 12 (R)" ,"REP" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,191 ,
"District 12 - Early Voting" ,"HOUSE DISTRICT 12 (R)" ,"REP" ,"NP" ,"Tilton, Cathy L." ,"REP" ,"Total" ,166 ,
"District 13 - Early Voting" ,"Race Statistics" ,"NP" ,"NP" ,"Number of Precincts" ,"NP" ,"Total" ,0 ,
"District 13 - Early Voting" ,"Race Statistics" ,"NP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,0 ,
"District 13 - Early Voting" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,0 ,
"District 13 - Early Voting" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,0 ,
"District 13 - Early Voting" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,12603 ,
"District 13 - Early Voting" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,19 ,
"District 13 - Early Voting" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Cumings, Christophe" ,"DEM" ,"Total" ,2 ,
"District 13 - Early Voting" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Galvin, Alyse S." ,"DEM" ,"Total" ,9 ,
"District 13 - Early Voting" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Hafner, Carol" ,"DEM" ,"Total" ,4 ,
"District 13 - Early Voting" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Shein, Dimitri" ,"DEM" ,"Total" ,3 ,
"District 13 - Early Voting" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,0 ,
"District 13 - Early Voting" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,0 ,
"District 13 - Early Voting" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,12603 ,
"District 13 - Early Voting" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,44 ,
"District 13 - Early Voting" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Nelson, Thomas" ,"REP" ,"Total" ,5 ,
"District 13 - Early Voting" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Whittaker, Jed" ,"REP" ,"Total" ,6 ,
"District 13 - Early Voting" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Young, Don" ,"REP" ,"Total" ,33 ,
"District 13 - Early Voting" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,0 ,
"District 13 - Early Voting" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,0 ,
"District 13 - Early Voting" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,12603 ,
"District 13 - Early Voting" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,19 ,
"District 13 - Early Voting" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Begich, Mark" ,"DEM" ,"Total" ,14 ,
"District 13 - Early Voting" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Toien, William S." ,"LIB" ,"Total" ,4 ,
"District 13 - Early Voting" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,0 ,
"District 13 - Early Voting" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,0 ,
"District 13 - Early Voting" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,12603 ,
"District 13 - Early Voting" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,44 ,
"District 13 - Early Voting" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Colbry, Darin A." ,"REP" ,"Total" ,0 ,
"District 13 - Early Voting" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Dunleavy, Mike J." ,"REP" ,"Total" ,27 ,
"District 13 - Early Voting" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Gordon, Thomas A." ,"REP" ,"Total" ,0 ,
"District 13 - Early Voting" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Heikes, Gerald L." ,"REP" ,"Total" ,1 ,
"District 13 - Early Voting" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Hlatcu, Merica" ,"REP" ,"Total" ,0 ,
"District 13 - Early Voting" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Sheldon, Michael D. " ,"REP" ,"Total" ,1 ,
"District 13 - Early Voting" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Treadwell, Mead" ,"REP" ,"Total" ,15 ,
"District 13 - Early Voting" ,"LIEUTENANT GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,0 ,
"District 13 - Early Voting" ,"LIEUTENANT GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,0 ,
"District 13 - Early Voting" ,"LIEUTENANT GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,12603 ,
"District 13 - Early Voting" ,"LIEUTENANT GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,19 ,
"District 13 - Early Voting" ,"LIEUTENANT GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Call, Debra L." ,"DEM" ,"Total" ,14 ,
"District 13 - Early Voting" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,0 ,
"District 13 - Early Voting" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,0 ,
"District 13 - Early Voting" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,12603 ,
"District 13 - Early Voting" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,44 ,
"District 13 - Early Voting" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Gattis, Lynn" ,"REP" ,"Total" ,6 ,
"District 13 - Early Voting" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Grunwald, Edie" ,"REP" ,"Total" ,9 ,
"District 13 - Early Voting" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Jackson, Sharon D." ,"REP" ,"Total" ,4 ,
"District 13 - Early Voting" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Meyer, Kevin G." ,"REP" ,"Total" ,14 ,
"District 13 - Early Voting" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Stevens, Gary L." ,"REP" ,"Total" ,7 ,
"District 13 - Early Voting" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Wright, Stephen" ,"REP" ,"Total" ,1 ,
"District 13 - Early Voting" ,"SENATE DISTRICT G (ADL)" ,"ADL" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,0 ,
"District 13 - Early Voting" ,"SENATE DISTRICT G (ADL)" ,"ADL" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,0 ,
"District 13 - Early Voting" ,"SENATE DISTRICT G (ADL)" ,"ADL" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,12603 ,
"District 13 - Early Voting" ,"SENATE DISTRICT G (ADL)" ,"ADL" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,19 ,
"District 13 - Early Voting" ,"SENATE DISTRICT G (ADL)" ,"ADL" ,"NP" ,"Schiess, Oliver" ,"DEM" ,"Total" ,17 ,
"District 13 - Early Voting" ,"SENATE DISTRICT G (R)" ,"REP" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,0 ,
"District 13 - Early Voting" ,"SENATE DISTRICT G (R)" ,"REP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,0 ,
"District 13 - Early Voting" ,"SENATE DISTRICT G (R)" ,"REP" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,12603 ,
"District 13 - Early Voting" ,"SENATE DISTRICT G (R)" ,"REP" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,44 ,
"District 13 - Early Voting" ,"SENATE DISTRICT G (R)" ,"REP" ,"NP" ,"Saddler, Dan" ,"REP" ,"Total" ,24 ,
"District 13 - Early Voting" ,"SENATE DISTRICT G (R)" ,"REP" ,"NP" ,"Reinbold, Lora H." ,"REP" ,"Total" ,20 ,
"District 13 - Early Voting" ,"HOUSE DISTRICT 13 (ADL)" ,"ADL" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,0 ,
"District 13 - Early Voting" ,"HOUSE DISTRICT 13 (ADL)" ,"ADL" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,0 ,
"District 13 - Early Voting" ,"HOUSE DISTRICT 13 (ADL)" ,"ADL" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,12603 ,
"District 13 - Early Voting" ,"HOUSE DISTRICT 13 (ADL)" ,"ADL" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,19 ,
"District 13 - Early Voting" ,"HOUSE DISTRICT 13 (ADL)" ,"ADL" ,"NP" ,"Kimp, Danyelle D." ,"DEM" ,"Total" ,16 ,
"District 13 - Early Voting" ,"HOUSE DISTRICT 13 (R)" ,"REP" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,0 ,
"District 13 - Early Voting" ,"HOUSE DISTRICT 13 (R)" ,"REP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,0 ,
"District 13 - Early Voting" ,"HOUSE DISTRICT 13 (R)" ,"REP" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,12603 ,
"District 13 - Early Voting" ,"HOUSE DISTRICT 13 (R)" ,"REP" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,44 ,
"District 13 - Early Voting" ,"HOUSE DISTRICT 13 (R)" ,"REP" ,"NP" ,"Dahlstrom, Nancy A." ,"REP" ,"Total" ,23 ,
"District 13 - Early Voting" ,"HOUSE DISTRICT 13 (R)" ,"REP" ,"NP" ,"Christenson, Craig " ,"REP" ,"Total" ,10 ,
"District 13 - Early Voting" ,"HOUSE DISTRICT 13 (R)" ,"REP" ,"NP" ,"Cook, Bill" ,"REP" ,"Total" ,9 ,
"District 14 - Early Voting" ,"Race Statistics" ,"NP" ,"NP" ,"Number of Precincts" ,"NP" ,"Total" ,0 ,
"District 14 - Early Voting" ,"Race Statistics" ,"NP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,0 ,
"District 14 - Early Voting" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,0 ,
"District 14 - Early Voting" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,0 ,
"District 14 - Early Voting" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,16193 ,
"District 14 - Early Voting" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,52 ,
"District 14 - Early Voting" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Cumings, Christophe" ,"DEM" ,"Total" ,3 ,
"District 14 - Early Voting" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Galvin, Alyse S." ,"DEM" ,"Total" ,33 ,
"District 14 - Early Voting" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Hafner, Carol" ,"DEM" ,"Total" ,7 ,
"District 14 - Early Voting" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Shein, Dimitri" ,"DEM" ,"Total" ,9 ,
"District 14 - Early Voting" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,0 ,
"District 14 - Early Voting" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,0 ,
"District 14 - Early Voting" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,16193 ,
"District 14 - Early Voting" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,119 ,
"District 14 - Early Voting" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Nelson, Thomas" ,"REP" ,"Total" ,17 ,
"District 14 - Early Voting" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Whittaker, Jed" ,"REP" ,"Total" ,19 ,
"District 14 - Early Voting" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Young, Don" ,"REP" ,"Total" ,77 ,
"District 14 - Early Voting" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,0 ,
"District 14 - Early Voting" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,0 ,
"District 14 - Early Voting" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,16193 ,
"District 14 - Early Voting" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,52 ,
"District 14 - Early Voting" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Begich, Mark" ,"DEM" ,"Total" ,45 ,
"District 14 - Early Voting" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Toien, William S." ,"LIB" ,"Total" ,7 ,
"District 14 - Early Voting" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,0 ,
"District 14 - Early Voting" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,0 ,
"District 14 - Early Voting" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,16193 ,
"District 14 - Early Voting" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,119 ,
"District 14 - Early Voting" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Colbry, Darin A." ,"REP" ,"Total" ,0 ,
"District 14 - Early Voting" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Dunleavy, Mike J." ,"REP" ,"Total" ,72 ,
"District 14 - Early Voting" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Gordon, Thomas A." ,"REP" ,"Total" ,0 ,
"District 14 - Early Voting" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Heikes, Gerald L." ,"REP" ,"Total" ,0 ,
"District 14 - Early Voting" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Hlatcu, Merica" ,"REP" ,"Total" ,3 ,
"District 14 - Early Voting" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Sheldon, Michael D. " ,"REP" ,"Total" ,1 ,
"District 14 - Early Voting" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Treadwell, Mead" ,"REP" ,"Total" ,43 ,
"District 14 - Early Voting" ,"LIEUTENANT GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,0 ,
"District 14 - Early Voting" ,"LIEUTENANT GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,0 ,
"District 14 - Early Voting" ,"LIEUTENANT GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,16193 ,
"District 14 - Early Voting" ,"LIEUTENANT GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,52 ,
"District 14 - Early Voting" ,"LIEUTENANT GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Call, Debra L." ,"DEM" ,"Total" ,49 ,
"District 14 - Early Voting" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,0 ,
"District 14 - Early Voting" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,0 ,
"District 14 - Early Voting" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,16193 ,
"District 14 - Early Voting" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,119 ,
"District 14 - Early Voting" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Gattis, Lynn" ,"REP" ,"Total" ,11 ,
"District 14 - Early Voting" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Grunwald, Edie" ,"REP" ,"Total" ,29 ,
"District 14 - Early Voting" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Jackson, Sharon D." ,"REP" ,"Total" ,12 ,
"District 14 - Early Voting" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Meyer, Kevin G." ,"REP" ,"Total" ,50 ,
"District 14 - Early Voting" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Stevens, Gary L." ,"REP" ,"Total" ,8 ,
"District 14 - Early Voting" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Wright, Stephen" ,"REP" ,"Total" ,3 ,
"District 14 - Early Voting" ,"SENATE DISTRICT G (ADL)" ,"ADL" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,0 ,
"District 14 - Early Voting" ,"SENATE DISTRICT G (ADL)" ,"ADL" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,0 ,
"District 14 - Early Voting" ,"SENATE DISTRICT G (ADL)" ,"ADL" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,16193 ,
"District 14 - Early Voting" ,"SENATE DISTRICT G (ADL)" ,"ADL" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,52 ,
"District 14 - Early Voting" ,"SENATE DISTRICT G (ADL)" ,"ADL" ,"NP" ,"Schiess, Oliver" ,"DEM" ,"Total" ,52 ,
"District 14 - Early Voting" ,"SENATE DISTRICT G (R)" ,"REP" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,0 ,
"District 14 - Early Voting" ,"SENATE DISTRICT G (R)" ,"REP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,0 ,
"District 14 - Early Voting" ,"SENATE DISTRICT G (R)" ,"REP" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,16193 ,
"District 14 - Early Voting" ,"SENATE DISTRICT G (R)" ,"REP" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,119 ,
"District 14 - Early Voting" ,"SENATE DISTRICT G (R)" ,"REP" ,"NP" ,"Saddler, Dan" ,"REP" ,"Total" ,51 ,
"District 14 - Early Voting" ,"SENATE DISTRICT G (R)" ,"REP" ,"NP" ,"Reinbold, Lora H." ,"REP" ,"Total" ,66 ,
"District 14 - Early Voting" ,"HOUSE DISTRICT 14 (ADL)" ,"ADL" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,0 ,
"District 14 - Early Voting" ,"HOUSE DISTRICT 14 (ADL)" ,"ADL" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,0 ,
"District 14 - Early Voting" ,"HOUSE DISTRICT 14 (ADL)" ,"ADL" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,16193 ,
"District 14 - Early Voting" ,"HOUSE DISTRICT 14 (ADL)" ,"ADL" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,52 ,
"District 14 - Early Voting" ,"HOUSE DISTRICT 14 (ADL)" ,"ADL" ,"NP" ,"Hackenmueller, Joe" ,"DEM" ,"Total" ,51 ,
"District 14 - Early Voting" ,"HOUSE DISTRICT 14 (R)" ,"REP" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,0 ,
"District 14 - Early Voting" ,"HOUSE DISTRICT 14 (R)" ,"REP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,0 ,
"District 14 - Early Voting" ,"HOUSE DISTRICT 14 (R)" ,"REP" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,16193 ,
"District 14 - Early Voting" ,"HOUSE DISTRICT 14 (R)" ,"REP" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,119 ,
"District 14 - Early Voting" ,"HOUSE DISTRICT 14 (R)" ,"REP" ,"NP" ,"Merrick, Kelly R." ,"REP" ,"Total" ,43 ,
"District 14 - Early Voting" ,"HOUSE DISTRICT 14 (R)" ,"REP" ,"NP" ,"Allard, Jamie D." ,"REP" ,"Total" ,44 ,
"District 14 - Early Voting" ,"HOUSE DISTRICT 14 (R)" ,"REP" ,"NP" ,"Harnett, Eugene" ,"REP" ,"Total" ,24 ,
"District 15 - Early Voting" ,"Race Statistics" ,"NP" ,"NP" ,"Number of Precincts" ,"NP" ,"Total" ,0 ,
"District 15 - Early Voting" ,"Race Statistics" ,"NP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,0 ,
"District 15 - Early Voting" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,0 ,
"District 15 - Early Voting" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,0 ,
"District 15 - Early Voting" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,11744 ,
"District 15 - Early Voting" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,33 ,
"District 15 - Early Voting" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Cumings, Christophe" ,"DEM" ,"Total" ,3 ,
"District 15 - Early Voting" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Galvin, Alyse S." ,"DEM" ,"Total" ,15 ,
"District 15 - Early Voting" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Hafner, Carol" ,"DEM" ,"Total" ,9 ,
"District 15 - Early Voting" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Shein, Dimitri" ,"DEM" ,"Total" ,6 ,
"District 15 - Early Voting" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,0 ,
"District 15 - Early Voting" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,0 ,
"District 15 - Early Voting" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,11744 ,
"District 15 - Early Voting" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,33 ,
"District 15 - Early Voting" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Nelson, Thomas" ,"REP" ,"Total" ,4 ,
"District 15 - Early Voting" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Whittaker, Jed" ,"REP" ,"Total" ,3 ,
"District 15 - Early Voting" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Young, Don" ,"REP" ,"Total" ,24 ,
"District 15 - Early Voting" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,0 ,
"District 15 - Early Voting" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,0 ,
"District 15 - Early Voting" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,11744 ,
"District 15 - Early Voting" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,33 ,
"District 15 - Early Voting" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Begich, Mark" ,"DEM" ,"Total" ,27 ,
"District 15 - Early Voting" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Toien, William S." ,"LIB" ,"Total" ,6 ,
"District 15 - Early Voting" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,0 ,
"District 15 - Early Voting" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,0 ,
"District 15 - Early Voting" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,11744 ,
"District 15 - Early Voting" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,33 ,
"District 15 - Early Voting" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Colbry, Darin A." ,"REP" ,"Total" ,0 ,
"District 15 - Early Voting" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Dunleavy, Mike J." ,"REP" ,"Total" ,19 ,
"District 15 - Early Voting" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Gordon, Thomas A." ,"REP" ,"Total" ,0 ,
"District 15 - Early Voting" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Heikes, Gerald L." ,"REP" ,"Total" ,0 ,
"District 15 - Early Voting" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Hlatcu, Merica" ,"REP" ,"Total" ,1 ,
